meeting_id,title,summary,participant_count,internal_count,external_count,transcript_excerpt,suggested_label,manual_label
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,"Suki Nakamura from a financial services firm expressed serious concern over a six-hour threat monitoring outage on Monday that left her security team blind during ongoing regulatory audit conversations. Ravi Gupta acknowledged a known architectural single point of failure in Aegis Detect's event processing pipeline and outlined remediation steps including redundant nodes and a circuit breaker pattern targeted for end-of-month deployment. Suki disclosed that her CISO has initiated a formal vendor review and that the company is actively evaluating competitor SentinelShield. The call concluded with concrete commitments: Ravi will send an infrastructure audit summary by Monday, the technical fix will ship by end of March, and a follow-up check-in call is scheduled for two weeks out.",4,3,1,"Rachel Torres: Hi Suki, thanks so much for making time for us today, I know your schedule has been pretty packed this week. Suki Nakamura: Yeah, it has been, honestly. Hi Rachel, hi everyone. Lisa Park: Hi Suki, I'm Lisa Park, I work alongside Rachel on your account - I don't think we've actually spoken before, so just wanted to introduce myself quickly. Suki Nakamura: Oh right, yes, Rachel mentioned you'd be joining. Nice to meet you Lisa. Rachel Torres: And I've also got Ravi Gupta on the line, he's one of our DevOps engineers and he can speak a lot more technically to some of the stuff we're going to cover today. Ravi Gupta: Hey Suki, good to be here. Suki Nakamura: Good, okay. So look, I",customer_support,external
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,"The team convened an urgent internal call to address a significant outage of their Detect product that left customers without security monitoring for approximately six hours overnight. A single point of failure in the event ingestion pipeline caused a cascading failure, and critically, the company's own internal alerting also failed because the health checks were tied to the same broken pipeline - meaning a customer, not the team, flagged the outage. At least 47 support tickets have been logged, key enterprise accounts including Fortex and Meridian Financial are expressing dissatisfaction and referencing competitors, and SLA compliance issues are expected to result in credits. The team aligned on immediate action items including drafting a formal executive incident communication, pulling the full SLA exposure list, looping in legal and finance, and preparing customer-facing talking points to clarify that the Comply product was unaffected.",4,4,0,"Lisa Park: Okay, I think everyone's on now - Diana, can you hear us okay? Diana Reeves: Yeah, I'm here. Sorry, I was just - I had another call running over. Let's get into it. Lisa Park: No worries. So, um, I wanted to get us all together because the inbound volume from customers this morning has been... it's been a lot. Aisha Johnson: Yeah, same on the support side. We've had - Priya, you want to give the numbers? Priya Patel: Sure. So as of about thirty minutes ago we had logged forty-seven inbound tickets directly related to the Detect outage. That's just tickets - that doesn't count the calls, the Slack pings through shared channels, emails going directly to AMs. Diana Reeves: Forty-seve",customer_support,internal
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,"Jason Hoffman from Meridian contacted Aegis support (Sarah Chen) regarding the lack of granular file-level restore capabilities in Aegis Protect. An analyst had accidentally overwritten config files on an EBS-backed EC2 trading platform, requiring a two-hour manual workaround involving spinning up a temporary instance to retrieve the files. Sarah confirmed that file-level restore is not currently supported and documented a formal feature request covering granular file-level restore from EBS snapshots, restore-to-alternate-path functionality, and a file metadata preview capability. The case will be logged, Jason's colleague Marcus Webb will be added, and the CSM will be looped in for follow-up.",2,1,1,"Sarah Chen: Hi Jason, thanks for joining - this is Sarah Chen from Aegis support, I'll be handling case number 1514 for you today. Jason Hoffman: Hey Sarah, yeah thanks for getting on a call, I appreciate it - email threads on this kind of thing just go in circles. Sarah Chen: Totally understand, it's a lot easier to just talk through it directly. So I pulled up the case before hopping on - looks like you're looking at granular restore capabilities within Aegis Protect, is that the right starting point? Jason Hoffman: Yeah, exactly. So the short version is - we had an incident internally, nothing catastrophic, but one of our analysts accidentally overwrote a set of config files in our tradin",customer_support,customer_support
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,"The team convened to address fallout from a six-hour platform outage that caused a complete loss of threat monitoring visibility. Competitors SentinelShield and CyberNova are actively targeting at-risk accounts, including Hartfield Financial and prospect Clearvale Systems. The group aligned on a two-part response strategy: leading with a transparent post-mortem and remediation narrative now, followed by a Comply v2 launch touchpoint in early April to show forward momentum. Key concerns include a potential liability issue involving a customer who claims an actual security incident occurred during the outage window.",5,5,0,"Megan Lawson: Okay, I think we've got everyone now - can you all hear me okay? Tom Bradley: Yeah, loud and clear. James Mitchell: Good here. Brian Cho: Yep, I'm on. Megan Lawson: Alright, so - I want to just dive right in because honestly we don't have a lot of time and there's a lot to cover. The outage last week was bad. I don't think any of us are going to sugarcoat that. Six hours of zero threat monitoring visibility is not something our customers are just going to brush off, and our competitors are absolutely going to use this against us. James Mitchell: Yeah, I've already seen it happening. I had two accounts reach out to me directly asking if we had a formal post-mortem they could sha",customer_support,internal
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,"Daniel Okafor and James Mitchell from Aegis met with Damien Rowe from Stratos to discuss using Aegis Comply to streamline their compliance preparation ahead of a Q2 (May) audit. Damien explained that their current process is highly manual, requiring engineers to spend weeks pulling evidence across spreadsheets for SOC 2 and ISO 27001 compliance. The Aegis team walked through how Comply continuously maps cloud infrastructure to compliance frameworks and generates audit-ready evidence, noting integration with their existing Aegis Detect product. The call ended positively with agreement to schedule a tailored demo for Damien's engineering and security team.",3,2,1,"Daniel Okafor: Alright, I think Damien just joined - Damien, can you hear us okay? Damien Rowe: Yeah, I'm here, I'm here - sorry, had a last-minute thing pop up on my end. Good to connect with you guys. Daniel Okafor: No worries at all, we appreciate you making the time. James is on as well - James, you want to say hi? James Mitchell: Hey Damien, good to meet you. Daniel's told me a lot about what you guys are building over at Stratos - really exciting stuff. Damien Rowe: Yeah, it's been a busy year for us, that's for sure. We've got a pretty big audit coming up and honestly that's - that's the main driver for this call today. Daniel Okafor: Absolutely, and that's exactly what we want to dig",external,external
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,"Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a cascading failure affecting multiple customers on the same processing cluster, with engineering estimating restoration within two more hours. Julia expressed serious frustration over the lack of proactive communication, a single point of failure in the architecture, and the operational impact of having analysts manually reviewing logs. She disclosed they have been evaluating a competitor (SentinelShield) and has a board meeting next week where she must explain the security blind spot. Marcus committed to a formal incident report, SLA review, AE loop-in, and a direct phone call upon service restoration.",2,1,1,"Marcus Williams: Thank you for calling Aegis Cloud Security support, this is Marcus Williams, how can I help you today? Julia Tran: Marcus, hi, this is Julia Tran from Blackridge Investments and I need you to understand right now that this is a critical, critical situation - we have zero threat visibility, zero, and it has been that way for over three hours. Marcus Williams: Okay, Julia, I hear you, I'm pulling up your account right now - can you give me your account ID or the email on file so I can get in faster? Julia Tran: It's Blackridge Investments, B-L-A-C-K-R-I-D-G-E, account number BRI-04471, and I also already submitted a ticket, ticket number... uh, I have it here somewhere - it's ",customer_support,external
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,"The team held a Q2 roadmap planning session for the Identity product, covering three major themes: JIT provisioning and SCIM improvements, adaptive MFA policies, and an Identity audit trail integrated with the Comply module. Technical leads discussed specific failure modes in SCIM sync, a redesigned attribute mapping UI with inline validation, and a phased approach to adaptive MFA starting with location and device posture signals. The session also touched on competitive pressure from SentinelShield, lingering customer trust concerns following a March Detect outage, and cross-team alignment with the Comply team around SOC 2 reporting gaps.",5,5,0,"Alex Reyes: Alright, I think we've got everyone - Sofia, you just joined right? Sofia Petrov: Yeah, sorry, I was just finishing up a Slack thread with the Detect team about the post-mortem follow-ups. Jordan Whitfield: Oh no worries at all, we were just doing the usual five minutes of 'can everyone hear me' so you didn't miss anything. Mike Romano: Ha, classic. Okay so, yeah, are we recording this? I want to make sure the folks who couldn't make it can catch up. Alex Reyes: Yep, recording is on. Okay so - Q2 roadmap planning for Identity. I'm really excited about this one honestly, I think we have a genuinely strong quarter ahead of us. Ananya Sharma: Same, and I feel like Q1 kind of lit the",customer_support,internal
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,"Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event processing pipeline, not anything on the customer's side, and apologized for the lack of proactive communication. Paula expressed concern about the security gap created by hour-long alert delays across their OT and manufacturing environments, and noted potential SLA violations and cyber insurance reporting requirements. Priya committed to a two-hour written update with fix timeline and backfill status, and offered to involve the account manager for remediation and service credit discussions.",2,1,1,"Priya Patel: Hi Paula, thanks for jumping on the call, this is Priya Patel from Aegis support - I'm the team lead on your case, case number 5889. Paula Schneider: Yeah, hi Priya. Thanks for getting back to me. I've been waiting on this for - honestly it's been a couple of days now and we're not in a great spot. Priya Patel: I completely understand, and I apologize for the delay on our end. I've been reviewing the case notes and I want to make sure I fully understand what you're seeing. Can you walk me through the issue from your perspective? Paula Schneider: Sure. So, we're in manufacturing, right, we've got a lot of OT systems, warehouse management, fleet tracking - a pretty broad attack su",customer_support,customer_support
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,"Grace Yoon (Northstar) called with serious concerns after a six-hour outage of Aegis Detect left her security team with zero threat monitoring visibility in a HIPAA-regulated pharma environment. This was the second reliability incident in eight months, prompting her CISO to request a competitive evaluation against SentinelShield. Maria Santos acknowledged the failures, explained the root cause as a cascading single point of failure in the event ingestion pipeline, and committed to multiple remediation steps. The call ended with Grace conditionally willing to continue but emphasizing the renewal in June is at risk without significant improvement.",2,1,1,"Maria Santos: Grace, hi, thank you so much for jumping on this call with me today, I know your schedule is absolutely packed right now. Grace Yoon: Maria, I'm going to be honest with you, I almost didn't pick up. Maria Santos: I - okay, I understand that, and I want you to know I take that seriously. Grace Yoon: Do you have any idea what the last thirty-six hours have looked like for my team? We've had zero visibility into our threat monitoring since yesterday morning and I - I don't even know where to start. Maria Santos: I know, Grace, and I am so sorry. I've been following the incident updates internally and I wanted to get on a call with you specifically because Northstar is one of our m",customer_support,external
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,"A critical outage call was convened to address a complete failure of the Detect event processing pipeline that began around 9:14 AM Pacific. The ingestion pipeline's single primary node hit a memory ceiling and crashed due to lack of redundancy, a known tech debt issue that had been flagged but not prioritized. The outage went unannounced on the status page for approximately 90 minutes, causing enterprise customers including Harmon Financial and TerraLogix to escalate, with some customers mistakenly fearing a security breach. The team aligned on immediate actions: a stopgap fix involving a secondary node and temporary load balancer, a public customer statement clarifying there was no breach, and a post-mortem timeline, while acknowledging that 30-40% of event data during the outage window may be unrecoverable.",4,4,0,"Brian Cho: Okay, I think we've got everyone. Tom, you there? Brian's on, Ananya's on - Sofia, can you confirm? Sofia Petrov: Yeah I'm here, sorry, I was just pulling up the dashboards. Brian Cho: Good. Okay, let's not waste time. Tom, do you want to kick us off or should I? Tom Bradley: I'll start. So, uh, at approximately 9:14 AM Pacific we started seeing alerts - or rather, the absence of alerts - from the Detect event processing pipeline. The ingestion layer just... stopped. No events coming through, no throughput, and the monitoring didn't catch it immediately which is its own problem we're going to talk about. Brian Cho: When you say the monitoring didn't catch it - are we talking about",customer_support,internal
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,"Oliver Grant contacted Aegis Cloud Security support to report multiple formatting bugs in the newly launched Aegis Comply v2 PDF report export. The issues include section header text truncation on long control category names, a table pagination problem splitting the header row from its data, and incorrect page count in the footer. Marcus confirmed the bugs by reproducing them in a test environment and identified them as a rendering defect in the PDF generation service introduced with the v2 release. Marcus committed to escalating to engineering with high priority and providing an ETA via email the same day, given Oliver's internal audit review scheduled for the following week.",2,1,1,"Marcus Williams: Hi, this is Marcus Williams from Aegis Cloud Security support, am I speaking with Oliver Grant? Oliver Grant: Yeah, that's me. Hi Marcus, thanks for getting back to me so quickly. Marcus Williams: Of course, happy to help. So I'm pulling up support case number 3296 here - you're reporting a formatting issue with Aegis Comply v2 reports? Oliver Grant: Yeah, exactly. So we just upgraded to - or I guess it launched yesterday, right, the v2 - and we ran our first on-demand SOC 2 report this morning and the output is just... it's not right. Marcus Williams: Okay, can you describe what you're seeing? Like is it a visual formatting thing, or is data missing, or...? Oliver Grant: It",customer_support,customer_support
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,"Aegis held a product demo call with Warren Beck (CISO) and Julia Tran (security analyst) from Blackridge, a financial services firm with a HIPAA-regulated healthcare subsidiary. The discussion centered on Aegis Comply v2, a newly released compliance reporting module, and how it could eliminate the manual, two-week evidence-gathering process Julia's team currently endures before audits. Key capabilities highlighted included on-demand and scheduled HIPAA reporting, multi-framework support (SOC 2, PCI DSS, ISO 27001), remediation guidance, and native LogVault integration. The call concluded with agreement to pursue a scoped proof of concept for the Blackridge Health Finance HIPAA environment, with Aegis to deliver a proposal by end of week.",4,2,2,"Warren Beck: Good morning everyone, thanks for jumping on - Lisa, Maria, can you hear us okay? Lisa Park: Yeah, loud and clear Warren, good morning! Thanks for making time for this - I know your calendar's been pretty packed lately. Maria Santos: Morning! Really excited for this one, we have a lot of good stuff to walk through today. Julia Tran: Morning everyone, Julia Tran here from the security team - looking forward to digging into the HIPAA piece specifically. Lisa Park: Perfect, yeah, that's really the main focus for us today. Um, so just to set the stage a little - Warren, do you want to give everyone a quick overview of where Blackridge is at from a compliance standpoint before we jum",customer_support,external
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,"Priya from Aegis Cloud Security support and senior engineer Sarah Chen joined a call with Yuki Tanaka, Security Lead at Pineridge, to troubleshoot a failing CloudPrime S3 backup connector issue (Case 2638). Yuki reported that backup jobs were failing with a 403 error since the previous Thursday, despite no known IAM permission changes. Sarah identified two likely causes: a misconfigured connector endpoint (using the generic s3.amazonaws.com instead of the region-specific us-west-2 endpoint) and potentially restrictive CloudPrime Service Control Policies updated during a routine policy review around the same time. Yuki updated the endpoint setting live on the call and agreed to test the backup job, check SCP policies with their CloudPrime admin, and share CloudTrail logs with the Aegis team.",3,2,1,"Priya Patel: Hi, this is Priya from Aegis Cloud Security support, I have Sarah on the line with me as well - she's one of our senior engineers on the Protect side. Am I speaking with Yuki? Yuki Tanaka: Yeah, hi, Yuki Tanaka here, Security Lead at Pineridge. Thanks for getting back to me, I know I submitted the case like yesterday afternoon so I appreciate the quick turnaround. Priya Patel: Of course, yeah. So we've pulled up Case 2638 - the CloudPrime S3 backup connector issue. Before Sarah digs in, do you want to just give us a quick rundown of what you're seeing on your end? Yuki Tanaka: Sure, yeah. So basically, we set up the S3 connector in Aegis Protect about three weeks ago, it was wor",customer_support,customer_support
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,"Tom Bradley led a post-incident review of the Detect outage from March 10th, which caused approximately six hours of no threat monitoring for customers due to a cascading failure in the event ingestion pipeline caused by a single point of failure. Tom explained the deployed fixes including redundant processing nodes and a circuit breaker pattern, while Megan noted upcoming product improvements including a status indicator and a potential heartbeat alert feature. Diana highlighted customer concerns about lack of visibility, particularly among enterprise and mid-renewal accounts, and the team aligned on next steps for customer communications. Key action items include Tom delivering a formal post-incident report, Megan evaluating roadmap prioritization, and Diana coordinating customer calls.",3,3,0,"Tom Bradley: Alright, I think we're all here - let me just pull up my notes real quick. Diana Reeves: Yeah I'm here, go ahead. Megan Lawson: Same, I've got about twenty minutes before my next thing so let's try to be efficient. Tom Bradley: Okay so - this is the post-incident review for the Detect outage, March 10th through the 18th, well, the outage itself was March 10th, we're just closing it out today. Diana Reeves: Right, and just to frame this - I had a lot of customer conversations this week, so I want to make sure we're aligned on what we're telling them going forward. Tom Bradley: Totally fair, we'll get there. So let me just walk through the timeline and root cause first, and then w",customer_support,internal
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,"Rachel Torres and Chris Lee held a renewal call with Isaac Brennan of Trailhead, covering fourteen months of experience with Protect and Detect. Isaac acknowledged a mid-March six-hour outage as a concern but praised the thorough post-mortem and the subsequent technical fixes. The team discussed adding Aegis Comply v2 at a promotional rate of $18,500 annually (locked for two years), which Isaac found compelling given upcoming PCI audit cycles. Isaac indicated strong internal support for the renewal and agreed on next steps including a procurement one-pager, contract execution by end of April, and a technical onboarding call post-signing.",3,2,1,"Rachel Torres: Hey Isaac, can you hear us okay? We just hopped on. Isaac Brennan: Yeah, loud and clear. Hey Rachel, hey - is Chris on too? Chris Lee: I'm here, yeah. Hey Isaac, good to finally catch up again. Isaac Brennan: Good to hear from you both. It's been, what, like two months since we've had a proper call? Rachel Torres: Something like that, yeah. Q1 flew by honestly. But hey, big day - we're officially talking renewal, which is exciting. Isaac Brennan: It really is. And honestly I'll say upfront - we're in a good place. Like, I don't think this is going to be a contentious conversation at all. Rachel Torres: That's always great to hear. I mean, we do try to earn that, so - appreciat",customer_support,external
